ΑΑ,latitude,longitude,ΑΡΙΘΜΟΣ,ΔΗΜΟΣ,ΔΙΑΜΕΤΡΟΣ,ΔΙΕΥΘΥΝΣΗ,ΟΔΟΣ,ΟΝΟΜΑ,ΠΕΡΙΟΧΗ,ΤΚ,ΚΑΛΛΙΚΡΑΤΙΚΟΣ,ΠΛΗΘΥΣΜΟΣ,ΤΟΜΕΑΣ,ΕΙΣΟΔΗΜΑ,ΑΡΙΘΜΟΣ ΑΓΟΡΙΩΝ,ΑΡΙΘΜΟΣ ΚΟΡΙΤΣΙΩΝ
853,37.8631257,23.7565406,20,ΓΛΥΦΑΔΑΣ,1,ΛΑΟΔΙΚΗΣ 20  Δήμος ΓΛΥΦΑΔΑΣ ΤΚ 16674,ΛΑΟΔΙΚΗΣ,10 & 3 ΝΗΠΙΑΓΩΓΕΙΑ,ΓΛΥΦΑΔΑ,16674.0,ΓΛΥΦΑΔΑΣ,89605.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"33421,32",22.0,18.0
854,37.9814736,23.6625441,35,ΚΟΡΥΔΑΛΛΟΥ,5/8,ΛΑΡΙΣΗΣ 35  Δήμος ΚΟΡΥΔΑΛΛΟΥ ΤΚ 18121,ΛΑΡΙΣΗΣ,6 ΝΗΠΙΑΓΩΓΕΙΟ,Γ ΝΕΚΡΟΤΑΦΕΙΟ,18121.0,ΚΟΡΥΔΑΛΛΟΥ,61247.0,Περιφερειακή Ενότητα Πειραιώς,"18935,13",9.0,11.0
855,37.9935507,23.7622834,47,ΑΘΗΝΑΙΩΝ,1.5,ΛΑΡΙΣΗΣ 47  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11524,ΛΑΡΙΣΗΣ,16 ΓΕΛ  - ΓΥΜΝΑΣΙΟ,ΑΜΠΕΛΟΚΗΠΟΙ,11524.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"27301,6",0.0,0.0
856,38.0274685,23.7450281,2,ΑΘΗΝΑΙΩΝ,1,ΛΑΡΝΕΩΣ 2  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11142,ΛΑΡΝΕΩΣ,22 ΓΕΛ,ΡΙΖΟΥΠΟΛΗ,11142.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"22769,28",0.0,0.0
857,37.9610833,23.7058717,37,ΚΑΛΛΙΘΕΑΣ,1.5,ΛΑΣΚΑΡΙΔΟΥ 37  Δήμος ΚΑΛΛΙΘΕΑΣ ΤΚ 17676,ΛΑΣΚΑΡΙΔΟΥ,17 ΔΗΜΟΤΙΚΟ,ΚΑΛΛΙΘΕΑ,17676.0,ΚΑΛΛΙΘΕΑΣ,96118.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"21376,89",131.0,142.0
858,37.959565,23.7032393,68,ΚΑΛΛΙΘΕΑΣ,1,ΛΑΣΚΑΡΙΔΟΥ 68  Δήμος ΚΑΛΛΙΘΕΑΣ ΤΚ 17676,ΛΑΣΚΑΡΙΔΟΥ,10 ΝΗΠ/ΓΕΙΟ-23 ΝΗΠ/ΓΕΙΟ,ΚΑΛΛΙΘΕΑ,17676.0,ΚΑΛΛΙΘΕΑΣ,96118.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"21376,89",136.0,112.0
859,38.0338654,23.7378191,1,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ,1,ΛΑΧΑΝΑ 1  Δήμος ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ ΤΚ 14342,ΛΑΧΑΝΑ,1Η ΣΧΟΛ ΕΠΙΤΡ Α/ΜΙΑΣ ΕΚΠΑΙΔ.Δ.ΦΙΛ/ΦΕΙΑΣ-Ν.ΧΑΛΚΗΔΟΝ ,ΝΕΑ ΜΑΔΥΤΟΣ,14342.0,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ – ΝΕΑΣ ΧΑΛΚΗΔΟΝΟΣ,34759.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21269,33",0.0,0.0
860,38.0566829,23.7426202,51,ΑΧΑΡΝΩΝ,5/8,ΛΑΪΚΩΝ ΑΓΩΝΩΝ 51  Δήμος ΑΧΑΡΝΩΝ ΤΚ 13671,ΛΑΪΚΩΝ ΑΓΩΝΩΝ,17 ΝΗΠΙΑΓΩΓΕΙΟ,ΕΦ. ΟΠΛΙΤΩΝ,13671.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"18548,71",11.0,7.0
861,37.9601861,23.6567137,97,ΠΕΙΡΑΙΩΣ,1.5,ΛΕΒΑΔΕΙΑΣ 97  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18542,ΛΕΒΑΔΕΙΑΣ,1 ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ & 1 ΕΙΔΙΚΟ ΝΗΠ,Π. ΚΟΚΚΙΝΙΑ,18542.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"17908,94",24.0,19.0
862,38.0788217,23.8187355,42,ΚΗΦΙΣΙΑΣ,5/8,ΛΕΒΙΔΟΥ 42  Δήμος ΚΗΦΙΣΙΑΣ ΤΚ 14563,ΛΕΒΙΔΟΥ,Α ΓΥΜΝ ΛΥΚ ΚΗΦΙΣΙΑΣ,ΚΗΦΙΣΙΑ,14563.0,ΚΗΦΙΣΙΑΣ,72860.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"51938,51",135.0,116.0
863,38.004575,23.726888,50,ΑΘΗΝΑΙΩΝ,1,ΛΕΜΕΣΟΥ 50  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10446,ΛΕΜΕΣΟΥ,129 & 149 ΝΗΠΙΑΓΩΓΕΙΟ,ΘΥΜΑΡΑΚΙΑ,10446.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"16282,46",10.0,5.0
864,37.9746194,23.6412944,21,ΝΙΚΑΙΑΣ,1.5,ΛΕΜΟΝΗ Β. & Χ. 21 Ξ Δήμος ΝΙΚΑΙΑΣ ΤΚ 18451,ΛΕΜΟΝΗ Β. & Χ.,10  ΓΥΜΝΑΣΙΟ ΝΙΚΑΙΑΣ,ΓΗΠΕΔΟ,18451.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"20617,4",103.0,89.0
865,38.0010733,23.7061602,268,ΑΘΗΝΑΙΩΝ,5/8,ΛΕΝΟΡΜΑΝ 268  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10443,ΛΕΝΟΡΜΑΝ,58 ΔΗΜΟΤΙΚΟ,ΚΟΛΟΚΥΝΘΟΥ,10443.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"19332,91",86.0,69.0
866,37.9756264,23.6485939,1,ΚΟΡΥΔΑΛΛΟΥ,5/8,ΛΕΣΒΟΥ 1  Δήμος ΚΟΡΥΔΑΛΛΟΥ ΤΚ 18121,ΛΕΣΒΟΥ,1 ΓΥΜΝΑΣΙΟ ΚΟΡΥΔΑΛΛΟΥ,ΤΑΞΙΑΡΧΕΣ,18121.0,ΚΟΡΥΔΑΛΛΟΥ,61247.0,Περιφερειακή Ενότητα Πειραιώς,"18935,13",20.0,10.0
867,37.9320364,23.7118429,4,ΝΕΑΣ ΣΜΥΡΝΗΣ,1.5,ΛΕΣΒΟΥ 4  Δήμος ΝΕΑΣ ΣΜΥΡΝΗΣ ΤΚ 17123,ΛΕΣΒΟΥ,ΕΥΑΓΓΕΛΙΚΗ ΣΧΟΛΗ,ΝΕΑ ΣΜΥΡΝΗ,17123.0,ΝΕΑΣ ΣΜΥΡΝΗΣ,72546.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26353,85",30.0,20.0
868,38.0144315,23.7897135,10,ΧΑΛΑΝΔΡΙΟΥ,5/8,ΛΕΥΚΑΔΟΣ 10  Δήμος ΧΑΛΑΝΔΡΙΟΥ ΤΚ 15231,ΛΕΥΚΑΔΟΣ,4 ΓΕΛ ΣΧΟΛ. ΕΠ. Β/ΘΜΙΑΣ ΕΚΠ,ΧΑΛΑΝΔΡΙ,15231.0,ΧΑΛΑΝΔΡΙΟΥ,77118.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"31834,76",0.0,0.0
869,37.9196052,23.7274737,54,ΑΓ. ΔΗΜΗΤΡΙΟΥ,1,ΛΕΥΚΩΝ ΟΡΕΩΝ 54  Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17342,ΛΕΥΚΩΝ ΟΡΕΩΝ,ΣΧ.ΕΠ.Α/ΘΜΙΑΣ ΕΚ.13-21 ΔΗΜΟΤ.,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ,17342.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23033,99",60.0,66.0
870,38.0328617,23.7586378,5,ΝΕΑΣ ΙΩΝΙΑΣ,5/8,ΛΕΥΚΩΣΙΑΣ 5  Δήμος ΝΕΑΣ ΙΩΝΙΑΣ ΤΚ 14233,ΛΕΥΚΩΣΙΑΣ,2&13 ΝΗΠΙΑΓΩΓΕΙΟ,ΝΕΑΠΟΛΗ,14233.0,ΝΕΑΣ ΙΩΝΙΑΣ,64107.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"20711,46",0.0,0.0
871,38.011772,23.7124034,50,ΑΘΗΝΑΙΩΝ,5/8,ΛΕΥΚΩΣΙΑΣ 50  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11253,ΛΕΥΚΩΣΙΑΣ,22 ΔΗΜΟΤΙΚΟ - 91 ΝΗΠΙΑΓΩΓΕΙΟ,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,11253.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"17866,02",21.0,21.0
872,38.011772,23.7124034,50,ΠΕΡΙΣΤΕΡΙΟΥ,5/8,ΛΕΥΚΩΣΙΑΣ 50  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12133,ΛΕΥΚΩΣΙΑΣ,ΤΕΕ ΠΕΡΙΣΤΕΡΙΟΥ,ΜΠΟΥΡΝΑΖΙ,12133.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20610,61",41.0,17.0
873,37.9173615,23.7219895,78,ΑΛΙΜΟΥ,5/8,ΛΕΥΚΩΣΙΑΣ 78  Δήμος ΑΛΙΜΟΥ ΤΚ 17455,ΛΕΥΚΩΣΙΑΣ,3 NHΠ/ΓΩΓΕΙΟ ΑΛΙΜΟΥ,ΑΛΙΜΟΣ,17455.0,ΑΛΙΜΟΥ,42872.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"30010,81",29.0,20.0
874,37.9789967,23.7208077,35,ΑΘΗΝΑΙΩΝ,5/8,ΛΕΩΚΟΡΙΟΥ 35  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10553,ΛΕΩΚΟΡΙΟΥ,ΕΝΙΑΙΟ ΕΙΔ ΕΠΑΓΓ ΓΥΜΝ - ΛΥΚΕΙΟ,ΨΥΡΡΗ,10553.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"17451,99",0.0,0.0
875,37.9834057,23.7211959,21,ΧΑΙΔΑΡΙΟΥ,1,ΛΕΩΝΙΔΟΥ 21  Δήμος ΧΑΙΔΑΡΙΟΥ ΤΚ 12461,ΛΕΩΝΙΔΟΥ,1 ΓΥΜΝΑΣΙΟ - 1 ΛΥΚΕΙΟ,ΧΑΙΔΑΡΙ,12461.0,ΧΑΪΔΑΡΙΟΥ,46983.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"21504,68",0.0,0.0
876,38.0100385,23.8165975,8,ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,5/8,ΛΕΩΝΙΔΟΥ 8  Δήμος ΑΓ. ΠΑΡΑΣΚΕΥΗΣ ΤΚ 15341,ΛΕΩΝΙΔΟΥ,2-10 ΝΗΠΙΑΓ ΣΧ. ΕΠ. Α/ΘΜΙΑΣ ΕΚΠ,ΑΓ. ΠΑΡΑΣΚΕΥΗ,15341.0,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,62157.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"31404,34",87.0,62.0
877,37.9644397,23.5194615,8,ΣΑΛΑΜΙΝΑΣ,5/8,ΛΕΩΝΙΔΟΥ 8  Δήμος ΣΑΛΑΜΙΝΑΣ ΤΚ 18901,ΛΕΩΝΙΔΟΥ,ΝΗΠΙΑΓΩΓΕΙΟ ΣΑΛΑΜΙΝ,ΠΑΛΟΥΚΙΑ,18901.0,ΣΑΛΑΜΙΝΟΣ,37175.0,Περιφερειακή Ενότητα Νήσων,,0.0,0.0
878,37.9640621,23.5229299,17,ΣΑΛΑΜΙΝΑΣ,5/8,ΛΕΩΦ. ΣΑΛΑΜΙΝΟΣ 17  Δήμος ΣΑΛΑΜΙΝΑΣ ΤΚ 18901,ΛΕΩΦ. ΣΑΛΑΜΙΝΟΣ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΛΟΥΚΙΩΝ,ΠΑΛΟΥΚΙΑ,18901.0,ΣΑΛΑΜΙΝΟΣ,37175.0,Περιφερειακή Ενότητα Νήσων,,104.0,88.0
879,37.9652442,23.5009703,254,ΣΑΛΑΜΙΝΑΣ,,ΛΕΩΦ. ΣΑΛΑΜΙΝΟΣ 254  Δήμος ΣΑΛΑΜΙΝΑΣ ΤΚ 18900,ΛΕΩΦ. ΣΑΛΑΜΙΝΟΣ,,ΤΣΑΜΗ,18900.0,ΣΑΛΑΜΙΝΟΣ,37175.0,Περιφερειακή Ενότητα Νήσων,,127.0,116.5
880,37.9203623,23.7269871,24,ΑΓ. ΔΗΜΗΤΡΙΟΥ,5/8,ΛΗΜΝΟΥ 24  Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17342,ΛΗΜΝΟΥ,,ΑΓΡΙΛΙΟΣ,17342.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23033,99",24.0,21.666666666666668
881,37.9799681,23.6600962,29,ΚΟΡΥΔΑΛΛΟΥ,1.5,ΛΗΜΝΟΥ 29  Δήμος ΚΟΡΥΔΑΛΛΟΥ ΤΚ 18121,ΛΗΜΝΟΥ,13 ΟΝ ΔΗΜ.ΣΧΟΛΕΙΟ ΚΟΡΥΔΑΛΛΟΥ,ΚΟΡΥΔΑΛΛΟΣ,18121.0,ΚΟΡΥΔΑΛΛΟΥ,61247.0,Περιφερειακή Ενότητα Πειραιώς,"18935,13",0.0,0.0
882,38.0506579,23.8361627,7,ΜΕΛΙΣΣΙΩΝ,,ΛΙΟΔΗΜΟΥ 7  Δήμος ΜΕΛΙΣΣΙΩΝ ΤΚ 15127,ΛΙΟΔΗΜΟΥ,,ΜΕΛΙΣΣΙΑ,15127.0,ΠΕΝΤΕΛΗΣ,35439.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"32773,79",106.0,90.0
883,38.0022937,23.7215848,195,ΑΘΗΝΑΙΩΝ,1,ΛΙΟΣΙΩΝ 195  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10445,ΛΙΟΣΙΩΝ,52 ΔΗΜΟΤΙΚΟ,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,10445.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"18173,09",154.0,148.0
884,37.9903309,23.724187,42,ΑΘΗΝΑΙΩΝ,5/8,ΛΙΟΣΙΩΝ 42  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10439,ΛΙΟΣΙΩΝ,54 ΔΗΜΟΤΙΚΟ ΚΑΙ 35 ΝΗΠΙΑΓΩΓΕΙΟ,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,10439.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"16081,27",10.0,11.0
885,38.0803799,23.7319051,42,ΑΧΑΡΝΩΝ,1,ΛΙΟΣΙΩΝ 42  Δήμος ΑΧΑΡΝΩΝ ΤΚ 13674,ΛΙΟΣΙΩΝ,3 ΔΗΜΟΤΙΚΟ,ΑΥΛΙΖΑ,13674.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,,137.0,139.0
886,37.9903932,23.7242008,44,ΑΘΗΝΑΙΩΝ,5/8,ΛΙΟΣΙΩΝ 44  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10439,ΛΙΟΣΙΩΝ,55 ΔΗΜΟΤΙΚΟ ΚΑΙ 106 ΝΗΠΙΑΓΩΓΕΙΟ,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,10439.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"16081,27",9.0,7.0
887,38.079819,23.7305104,44,ΑΧΑΡΝΩΝ,,ΛΙΟΣΙΩΝ 44  Δήμος ΑΧΑΡΝΩΝ ΤΚ 13674,ΛΙΟΣΙΩΝ,,ΑΥΛΙΖΑ,13674.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,,86.0,85.5
888,37.9657992,23.5740431,1,ΠΕΡΑΜΑΤΟΣ,,ΛΟΓΟΘΕΤΗ 1  Δήμος ΠΕΡΑΜΑΤΟΣ ΤΚ 18863,ΛΟΓΟΘΕΤΗ,Β ΔΗΜ.ΣΧΟΛΕΙΟ,ΠΕΡΑΜΑ,18863.0,ΠΕΡΑΜΑΤΟΣ,25636.0,Περιφερειακή Ενότητα Πειραιώς,"18546,09",0.0,0.0
889,38.0304315,23.7745783,51,ΦΙΛΟΘΕΗΣ,1,ΛΟΥΚΗ ΑΚΡΙΤΑ 51 Ξ Δήμος ΦΙΛΟΘΕΗΣ ΤΚ 15237,ΛΟΥΚΗ ΑΚΡΙΤΑ,2 ΓΥΜΝΑΣΙΟ ΦΙΛΟΘΕΗ,ΦΙΛΟΘΕΗ,15237.0,ΦΙΛΟΘΕΗΣ – ΨΥΧΙΚΟΥ,27400.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"74798,25",104.0,115.0
890,37.9796757,23.7381933,22,ΑΘΗΝΑΙΩΝ,5/8,ΛΥΚΑΒΗΤΤΟΥ 22  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10673,ΛΥΚΑΒΗΤΤΟΥ,,ΚΟΛΩΝΑΚΙ,10673.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"48426,95",110.0,124.0
891,38.0059123,23.8098424,45,ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,1.5,ΛΥΚΕΙΟΥ 45  Δήμος ΑΓ. ΠΑΡΑΣΚΕΥΗΣ ΤΚ 15341,ΛΥΚΕΙΟΥ,ΕΠΑΛ,ΑΓ. ΠΑΡΑΣΚΕΥΗ,15341.0,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,62157.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"31404,34",211.0,33.0
892,37.9827423,23.7279318,12,ΝΕΑΣ ΠΕΡΑΜΟΥ,5/8,ΛΥΚΟΥΡΓΟΥ 12  Δήμος ΝΕΑΣ ΠΕΡΑΜΟΥ ΤΚ 19006,ΛΥΚΟΥΡΓΟΥ,ΓΥΜΝΑΣΙΟ Ν. ΠΕΡΑΜΟΥ,ΝΕΑ ΠΕΡΑΜΟΣ,19006.0,ΜΕΓΑΡΕΩΝ,38046.0,Περιφερειακή Ενότητα Δυτικής Αττικής,"17961,75",298.0,272.0
893,38.0073625,23.4280032,14,ΝΕΑΣ ΠΕΡΑΜΟΥ,5/8,ΛΥΚΟΥΡΓΟΥ 14  Δήμος ΝΕΑΣ ΠΕΡΑΜΟΥ ΤΚ 19006,ΛΥΚΟΥΡΓΟΥ,ΛΥΚΕΙΟ Ν. ΠΕΡΑΜΟΥ,ΝΕΑ ΠΕΡΑΜΟΣ,19006.0,ΜΕΓΑΡΕΩΝ,38046.0,Περιφερειακή Ενότητα Δυτικής Αττικής,"17961,75",136.0,160.0
894,38.0172907,23.8331618,2,ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,2,ΛΥΚΟΥΡΓΟΥ 2  Δήμος ΑΓ. ΠΑΡΑΣΚΕΥΗΣ ΤΚ 15343,ΛΥΚΟΥΡΓΟΥ,7 ΔΗΜΟΤΙΚΟ ΣΧΟΛ. ΕΠ. Α/ΘΜΙΑΣ ΕΚΠ,ΠΑΡΑΔΕΙΣΟΣ,15343.0,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,62157.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"29064,96",203.0,210.0
895,37.9826,23.7279234,9,ΑΓ. ΒΑΡΒΑΡΑΣ,5/8,ΛΥΚΟΥΡΓΟΥ 9  Δήμος ΑΓ. ΒΑΡΒΑΡΑΣ ΤΚ 12351,ΛΥΚΟΥΡΓΟΥ,11 ΝΗΠΙΑΓΩΓΕΙΟ,ΔΕΞ. ΕΛ. ΒΕΝΙΖΕΛΟΥ,12351.0,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,26759.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"16992,47",14.0,12.0
896,37.9612674,23.7256525,17,ΑΘΗΝΑΙΩΝ,5/8,ΛΥΣΙΜΑΧΙΑΣ 17  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11745,ΛΥΣΙΜΑΧΙΑΣ,96 ΔΗΜΟΤΙΚΟ/43 & 135 ΝΗΠΙΑΓΩΓΕΙΟ,ΝΕΟΣ ΚΟΣΜΟΣ,11745.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"20527,47",20.0,21.0
897,38.0262712,23.6730847,50,ΠΕΡΙΣΤΕΡΙΟΥ,1,ΛΥΣΙΜΑΧΟΥ 50 Ξ Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12137,ΛΥΣΙΜΑΧΟΥ,40 ΔΗΜ. & 39 - 45 ΝΗΠΙΑΓΩΓΕΙΟ,ΑΣΠΡΑ ΧΩΜΑΤΑ,12137.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"19314,53",0.0,0.0
898,38.0013143,23.7090579,28,ΠΕΡΙΣΤΕΡΙΟΥ,5/8,ΛΥΣΙΟΥ 28 Α Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12132,ΛΥΣΙΟΥ,19 ΔΗΜΟΤ. - 17 ΝΗΠΙΑΓ.,Ν. ΚΟΛΟΚΥΝΘΟΥ,12132.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"21136,59",0.0,0.0
899,37.9919321,23.6838843,7,ΑΙΓΑΛΕΩ,5/8,ΜΑΓΝΗΣΙΑΣ 7  Δήμος ΑΙΓΑΛΕΩ ΤΚ 12242,ΜΑΓΝΗΣΙΑΣ,1 ΝΗΠΙΑΓΩΓΕΙΟ,ΔΕΞ. ΙΕΡΑΣ ΟΔΟΥ,12242.0,ΑΙΓΑΛΕΩ,64828.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"19110,11",10.0,11.0
900,38.0338654,23.7378191,85,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ,5/8,ΜΑΙΑΝΔΡΟΥ 85  Δήμος ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ ΤΚ 14341,ΜΑΙΑΝΔΡΟΥ,1Η ΣΧΟΛ ΕΠΙΤΡ Α/ΜΙΑΣ ΕΚΠΑΙΔ.Δ.ΦΙΛ/ΦΕΙΑΣ-Ν.ΧΑΛΚΗΔΟΝ ,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,14341.0,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ – ΝΕΑΣ ΧΑΛΚΗΔΟΝΟΣ,34759.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,22035,0.0,0.0
901,37.9742557,23.7716712,30,ΖΩΓΡΑΦΟΥ,5/8,ΜΑΙΚΗΝΑ 30  Δήμος ΖΩΓΡΑΦΟΥ ΤΚ 15772,ΜΑΙΚΗΝΑ,13 16 ΔΗΜ ΝΗΠ Δ ΖΩΓ,ΖΩΓΡΑΦΟΥ,15772.0,ΖΩΓΡΑΦΟΥ,69857.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"23759,22",13.0,9.0
902,37.9849313,23.7938658,2,ΠΑΠΑΓΟΥ,1,ΜΑΚΕΔΟΝΙΑΣ 2  Δήμος ΠΑΠΑΓΟΥ ΤΚ 15669,ΜΑΚΕΔΟΝΙΑΣ,2&3 ΔΗΜ. ΣΧΟΛ.ΠΑΠΑΓΟΥ,ΠΑΠΑΓΟΣ,15669.0,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,45164.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"38557,58",0.0,0.0
903,38.0584558,23.7200035,32,ΚΑΜΑΤΕΡΟΥ,5/8,ΜΑΚΕΔΟΝΙΑΣ 32  Δήμος ΚΑΜΑΤΕΡΟΥ ΤΚ 13451,ΜΑΚΕΔΟΝΙΑΣ,5 ΔΗΜΟΤΙΚΟ  ΣΧΟΛΕΙΟ ΚΑΜΑΤΕΡΟΥ,ΓΕΡΟΒΟΥΝΟ,13451.0,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,61427.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"19752,55",111.0,103.0
904,37.9851341,23.7939847,5,ΠΑΠΑΓΟΥ,1,ΜΑΚΕΔΟΝΙΑΣ 5 Ξ Δήμος ΠΑΠΑΓΟΥ ΤΚ 15669,ΜΑΚΕΔΟΝΙΑΣ,2  ΝΗΠ.ΠΑΠΑΓΟΥ,ΠΑΠΑΓΟΣ,15669.0,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,45164.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"38557,58",20.0,20.0
